"id","created_at","updated_at","care_addr","care_nm","care_tel"
1,"2024-09-18 16:41:33.259389","2024-09-18 16:41:33.259397","경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",창원유기동물보호소,"055-225-5701"
2,"2024-09-18 16:41:33.511226","2024-09-18 16:41:33.511231","경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",거제시유기동물보호소,"055-639-6368"
3,"2024-09-18 16:41:33.543281","2024-09-18 16:41:33.543286",경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,"055-225-5701"
4,"2024-09-18 16:41:33.569689","2024-09-18 16:41:33.569693",경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),김천시 동물보호센터,"054-421-2547"
5,"2024-09-18 16:41:33.604244","2024-09-18 16:41:33.604249",경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,(사)영일동물플러스,"054-262-8295"
6,"2024-09-18 16:41:33.716758","2024-09-18 16:41:33.716763","전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",유기동물보호소,"061-659-2474"
7,"2024-09-18 16:41:33.773319","2024-09-18 16:41:33.773324",전라북도 전주시 완산구 전주천서로 111 (서서학동) ,박영재동물병원,"063-284-7774"
8,"2024-09-18 16:41:33.846268","2024-09-18 16:41:33.846273",전라북도 전주시 완산구 서원로 225 (중화산동2가) ,링크늘푸른동물병원,"063-281-0075"
9,"2024-09-18 16:41:33.870602","2024-09-18 16:41:33.870607",충청남도 부여군 임천면 위덕로47번길 36-12  (점리),남부여동물보호소,"041-837-8277"
10,"2024-09-18 16:41:33.901246","2024-09-18 16:41:33.901251",강원특별자치도 원주시 호저면 칠봉로 109-17  ,원주시동물보호센터,"033-731-1119"
11,"2024-09-18 16:41:33.923991","2024-09-18 16:41:33.923996",경기도 남양주시 경강로163번길 32-27 (이패동) ,남양주시동물보호센터,"031-590-2785"
12,"2024-09-18 16:41:33.949316","2024-09-18 16:41:33.949321",경기도 부천시 오정구 소사로 779 (원종동) 201호,"24시아이동물메디컬","032-677-5262"
13,"2024-09-18 16:41:33.978305","2024-09-18 16:41:33.978312",경기도 부천시 소사구 경인로 72 (송내동) ,가나동물병원,"032-665-0075"
14,"2024-09-18 16:41:33.999295","2024-09-18 16:41:33.999300","경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",펫앤쉘터동물병원,"031-714-8392"
15,"2024-09-18 16:41:34.036888","2024-09-18 16:41:34.036893",울산광역시 남구 중앙로 165-1 (신정동) ,사랑동물병원,"052-273-0075"
16,"2024-09-18 16:41:34.092678","2024-09-18 16:41:34.092682",광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주 동물보호소,"062-571-2808"
17,"2024-09-18 16:41:34.138448","2024-09-18 16:41:34.138453",대구광역시 중구 동인동4가 국채보상로 724 ,대구시수의사회(동인),"070-4466-1575"
18,"2024-09-18 16:41:34.192095","2024-09-18 16:41:34.192100",경상북도 상주시 청리면 남상주로 1205-59  ,상주시 동물보호센터,"010-9270-1191"
19,"2024-09-18 16:41:34.207353","2024-09-18 16:41:34.207357",전북특별자치도 익산시 삼기면 황금로 342-17  ,익산유기동물보호소,"063-855-1214"
20,"2024-09-18 16:41:34.281242","2024-09-18 16:41:34.281247",강원도 인제군 인제읍 비봉로44번길 105  ,인제군유기동물보호소,"033-460-2473"
21,"2024-09-18 16:41:34.304259","2024-09-18 16:41:34.304264",대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호협회,"053-964-6258"
22,"2024-09-18 16:41:34.347255","2024-09-18 16:41:34.347260",경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경주동물사랑보호센터,"010-8889-2883"
23,"2024-09-18 16:41:34.430264","2024-09-18 16:41:34.430269",충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,반려동물보호센터,"043-201-2298"
24,"2024-09-18 16:41:34.462078","2024-09-18 16:41:34.462082",강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장,춘천시 동물보호센터,"033-245-5351"
25,"2024-09-18 16:41:34.484846","2024-09-18 16:41:34.484851",경기도 양평군 양평읍 농업기술센터길 59-1  ,양평군유기동물보호소,"031-770-2337"
26,"2024-09-18 16:41:34.512432","2024-09-18 16:41:34.512468",경기도 오산시 성호대로 36 (오산동) ,오산 유기동물보호소,"031-372-9325"
27,"2024-09-18 16:41:34.558499","2024-09-18 16:41:34.558503","경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",고양시동물보호센터,"031-962-3232"
28,"2024-09-18 16:41:34.662798","2024-09-18 16:41:34.662803",대구광역시 수성구 달구벌대로 2475 (범어동) ,제니스동물병원,"053-756-8293"
29,"2024-09-18 16:41:34.692677","2024-09-18 16:41:34.692682",충청남도 예산군 예산읍 아리랑로 236  지하1층,예산동물보호센터,"010-5453-8043"
30,"2024-09-18 16:41:34.838377","2024-09-18 16:41:34.838382",인천광역시 서구 가정로 346 (가정동) ,가정동물병원,"032-575-0833"
31,"2024-09-18 16:41:34.893296","2024-09-18 16:41:34.893301",제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주 동물보호센터,"064-710-4065"
32,"2024-09-18 16:41:35.022238","2024-09-18 16:41:35.022243",전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,나주유기동물보호센터,"010-2331-7377"
33,"2024-09-18 16:41:35.233651","2024-09-18 16:41:35.233656",경상남도 거창군 남상면 수남로 1934-12  ,거창유기동물보호센터,"055-945-6500"
34,"2024-09-18 16:41:35.259659","2024-09-18 16:41:35.259663",경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,"054-730-6286"
35,"2024-09-18 16:41:35.277699","2024-09-18 16:41:35.277704",경상북도 문경시 중앙로 170 (흥덕동) 종합축산,종합축산,"054-552-2233"
36,"2024-09-18 16:41:35.298842","2024-09-18 16:41:35.298846",경상북도 구미시 인동22길 43-4 (진평동) ,반려동물 입양센터,"054-716-0211"
37,"2024-09-18 16:41:35.329142","2024-09-18 16:41:35.329147",전라남도 무안군 삼향읍 석매길 21-5  ,목포시유기동물보호소,"010-9678-9966"
38,"2024-09-18 16:41:35.352908","2024-09-18 16:41:35.352912",충청남도 당진시 고대면 연동로 30-6 (고대면) ,당진시동물보호소,"041-356-8210"
39,"2024-09-18 16:41:35.384207","2024-09-18 16:41:35.384212",충청남도 태안군 태안읍 남문리 504-6,최동물병원,"041-672-0346"
40,"2024-09-18 16:41:35.410806","2024-09-18 16:41:35.410810",강원도 강릉시 성산면 내맬길 172  ,강릉시 동물사랑센터,"033-641-7515"
41,"2024-09-18 16:41:35.430639","2024-09-18 16:41:35.430643",경기도 여주시 능서면 능서공원길 34 (능서면) ,위더스 동물보호센터,"031-882-4381"
42,"2024-09-18 16:41:35.448452","2024-09-18 16:41:35.448456",경기도 시흥시 뒷방울길 218 (정왕동) ,시흥동물누리보호센터,"031-310-6945"
43,"2024-09-18 16:41:35.501480","2024-09-18 16:41:35.501485",대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할,동인동물병원,"053-424-4258"
44,"2024-09-18 16:41:35.716458","2024-09-18 16:41:35.716463",전라남도 영광군 불갑면 함영로 2755-48  ,영광동물보호센터,"010-9188-5525"
45,"2024-09-18 16:41:35.756208","2024-09-18 16:41:35.756213",대구광역시 군위군 군위읍 중앙1길 15  1층,군위종합동물병원,"010-5121-3193"
46,"2024-09-18 16:41:35.808575","2024-09-18 16:41:35.808580",전라북도 군산시 대야면 보덕안정길 108-20  ,군산유기동물보호센터,"063-451-2975"
